uid,pci,starttime,endtime,duration
110,369,13:23:1687173807,13:23:1687173807,0
111,433,13:23:1687173809,13:23:1687173809,0
112,17,13:23:1687173809,13:23:1687173809,0
113,433,13:23:1687173809,13:23:1687173809,0
114,369,13:23:1687173809,13:23:1687173809,0
115,17,13:23:1687173809,13:23:1687173809,0
116,433,13:23:1687173812,13:23:1687173812,-1
117,369,13:23:1687173812,13:23:1687173812,0
118,433,13:23:1687173814,13:23:1687173814,0
119,369,13:23:1687173814,13:23:1687173814,0
120,433,13:23:1687173814,13:23:1687173814,0
121,369,13:23:1687173814,13:23:1687173814,0
122,17,13:23:1687173814,13:23:1687173814,0
123,433,13:23:1687173816,13:23:1687173816,0
124,17,13:23:1687173816,13:23:1687173816,0
125,433,13:23:1687173818,13:23:1687173818,-1
126,237,13:23:1687173818,13:23:1687173818,0
127,17,13:23:1687173818,13:23:1687173818,0
128,433,13:23:1687173820,13:23:1687173820,-1
129,237,13:23:1687173820,13:23:1687173820,0
130,17,13:23:1687173820,13:23:1687173820,0
131,237,13:23:1687173822,13:23:1687173822,0
132,433,13:23:1687173822,13:23:1687173822,0
133,237,13:23:1687173822,13:23:1687173822,0
134,17,13:23:1687173822,13:23:1687173822,0
135,433,13:23:1687173824,13:23:1687173824,0
136,237,13:23:1687173824,13:23:1687173824,0
137,17,13:23:1687173824,13:23:1687173824,0
138,237,13:23:1687173826,13:23:1687173826,0
139,433,13:23:1687173826,13:23:1687173826,0
140,237,13:23:1687173826,13:23:1687173826,0
141,17,13:23:1687173826,13:23:1687173829,2207
142,433,13:23:1687173829,13:23:1687173829,0
143,17,13:23:1687173829,13:23:1687173829,0
144,433,13:23:1687173831,13:23:1687173831,0
145,237,13:23:1687173831,13:23:1687173831,0
146,17,13:23:1687173831,13:23:1687173831,0
147,433,13:23:1687173831,13:23:1687173831,0
148,237,13:23:1687173831,13:23:1687173831,0
149,17,13:23:1687173831,13:23:1687173831,0
150,433,13:23:1687173833,13:23:1687173833,-1
151,237,13:23:1687173833,13:23:1687173833,0
152,17,13:23:1687173833,13:23:1687173833,0
153,433,13:23:1687173835,13:23:1687173835,1
154,237,13:23:1687173835,13:23:1687173835,0
155,17,13:23:1687173835,13:23:1687173835,0
156,433,13:23:1687173837,13:23:1687173837,0
157,237,13:23:1687173837,13:23:1687173837,0
158,17,13:23:1687173837,13:23:1687173837,0
159,237,13:23:1687173839,13:23:1687173839,0
160,17,13:23:1687173839,13:23:1687173839,0
161,433,13:23:1687173839,13:23:1687173839,0
162,237,13:23:1687173839,13:23:1687173839,0
163,17,13:23:1687173839,13:23:1687173839,0
164,237,13:24:1687173841,13:24:1687173841,0
165,433,13:24:1687173841,13:24:1687173841,0
166,237,13:24:1687173843,13:24:1687173846,2107
167,433,13:24:1687173846,13:24:1687173846,0
168,237,13:24:1687173846,13:24:1687173846,0
169,433,13:24:1687173846,13:24:1687173846,0
170,237,13:24:1687173848,13:24:1687173850,2092
171,433,13:24:1687173850,13:24:1687173850,0
172,237,13:24:1687173852,13:24:1687173852,0
173,433,13:24:1687173852,13:24:1687173852,0
174,237,13:24:1687173854,13:24:1687173854,0
175,433,13:24:1687173856,13:24:1687173856,0
176,17,13:24:1687173856,13:24:1687173856,0
177,433,13:24:1687173856,13:24:1687173856,0
178,17,13:24:1687173856,13:24:1687173856,0
179,433,13:24:1687173858,13:24:1687173858,0
180,17,13:24:1687173858,13:24:1687173858,0
181,433,13:24:1687173858,13:24:1687173858,0
182,17,13:24:1687173858,13:24:1687173858,0
183,433,13:24:1687173860,13:24:1687173881,20772
184,434,13:24:1687173881,13:24:1687173881,0
185,433,13:24:1687173883,13:25:1687173908,24958
186,361,13:25:1687173908,13:25:1687173908,0
187,433,13:25:1687173910,13:25:1687173927,16469
188,17,13:25:1687173927,13:25:1687173927,0
189,433,13:25:1687173927,13:25:1687173927,0
190,17,13:25:1687173927,13:25:1687173927,0
191,433,13:25:1687173929,13:26:1687173977,47706
192,434,13:26:1687173977,13:26:1687173977,0
193,433,13:26:1687173977,13:26:1687173977,0
194,434,13:26:1687173977,13:26:1687173977,0
195,433,13:26:1687173979,13:29:1687174170,190957
196,361,13:29:1687174172,13:29:1687174172,0
197,433,13:29:1687174172,13:29:1687174172,0
198,361,13:29:1687174172,13:29:1687174172,0
199,433,13:29:1687174174,13:30:1687174203,28927
200,361,13:30:1687174203,13:30:1687174203,0
201,433,13:30:1687174205,13:30:1687174215,10336
202,361,13:30:1687174217,13:30:1687174217,0
203,433,13:30:1687174217,13:30:1687174217,0
204,434,13:30:1687174217,13:30:1687174217,0
205,361,13:30:1687174217,13:30:1687174217,0
206,433,13:30:1687174219,13:30:1687174219,0
207,434,13:30:1687174219,13:30:1687174219,0
208,433,13:30:1687174219,13:30:1687174219,0
209,434,13:30:1687174219,13:30:1687174219,0
210,433,13:30:1687174221,13:30:1687174224,2105
211,434,13:30:1687174224,13:30:1687174224,0
212,433,13:30:1687174226,13:30:1687174259,33351
213,361,13:30:1687174259,13:30:1687174259,0
214,433,13:31:1687174261,13:31:1687174265,4107
215,361,13:31:1687174265,13:31:1687174265,0
216,433,13:31:1687174267,13:31:1687174269,2078
217,361,13:31:1687174269,13:31:1687174269,0
218,433,13:31:1687174272,13:31:1687174272,-1
219,361,13:31:1687174272,13:31:1687174272,0
220,433,13:31:1687174274,13:31:1687174280,6301
221,361,13:31:1687174280,13:31:1687174280,0
222,433,13:31:1687174282,13:31:1687174282,0
223,361,13:31:1687174282,13:31:1687174284,2067
224,433,13:31:1687174284,13:31:1687174284,0
225,361,13:31:1687174284,13:31:1687174284,0
226,433,13:31:1687174286,13:31:1687174288,2074
227,434,13:31:1687174288,13:31:1687174288,0
228,361,13:31:1687174291,13:31:1687174291,0
229,433,13:31:1687174291,13:31:1687174291,0
230,361,13:31:1687174291,13:31:1687174291,0
231,433,13:31:1687174293,13:31:1687174293,-1
232,361,13:31:1687174293,13:31:1687174293,0
233,433,13:31:1687174295,13:31:1687174295,0
234,434,13:31:1687174295,13:31:1687174295,0
235,433,13:31:1687174297,13:31:1687174303,6281
236,361,13:31:1687174303,13:31:1687174303,0
237,433,13:31:1687174305,13:31:1687174307,2041
238,361,13:31:1687174307,13:31:1687174309,2090
239,433,13:31:1687174309,13:31:1687174309,0
240,361,13:31:1687174309,13:31:1687174309,0
241,433,13:31:1687174312,13:31:1687174312,1
242,361,13:31:1687174312,13:31:1687174312,0
243,433,13:31:1687174314,13:31:1687174314,-1
244,361,13:31:1687174314,13:31:1687174314,0
245,433,13:31:1687174316,13:31:1687174318,2065
246,434,13:31:1687174318,13:31:1687174318,0
247,361,13:31:1687174318,13:31:1687174318,0
248,433,13:32:1687174320,13:32:1687174320,0
249,434,13:32:1687174320,13:32:1687174320,0
250,361,13:32:1687174320,13:32:1687174320,0
251,433,13:32:1687174322,13:32:1687174322,0
252,434,13:32:1687174322,13:32:1687174322,0
253,361,13:32:1687174322,13:32:1687174322,0
254,433,13:32:1687174324,13:32:1687174324,0
255,361,13:32:1687174324,13:32:1687174324,0
256,433,13:32:1687174324,13:32:1687174324,0
257,434,13:32:1687174324,13:32:1687174324,0
258,361,13:32:1687174324,13:32:1687174324,0
259,433,13:32:1687174326,13:32:1687174326,0
260,361,13:32:1687174326,13:32:1687174326,0
261,433,13:32:1687174326,13:32:1687174326,0
262,434,13:32:1687174326,13:32:1687174326,0
263,361,13:32:1687174326,13:32:1687174329,2190
264,433,13:32:1687174329,13:32:1687174329,0
265,434,13:32:1687174329,13:32:1687174329,0
266,361,13:32:1687174329,13:32:1687174329,0
267,433,13:32:1687174331,13:32:1687174331,0
268,361,13:32:1687174331,13:32:1687174331,0
269,433,13:32:1687174331,13:32:1687174331,0
270,434,13:32:1687174331,13:32:1687174331,0
271,361,13:32:1687174331,13:32:1687174331,0
272,433,13:32:1687174333,13:32:1687174333,1
273,434,13:32:1687174333,13:32:1687174333,0
274,361,13:32:1687174333,13:32:1687174333,0
275,433,13:32:1687174335,13:32:1687174335,0
276,434,13:32:1687174335,13:32:1687174335,0
277,433,13:32:1687174337,13:32:1687174339,2031
278,360,13:32:1687174339,13:32:1687174339,0
279,434,13:32:1687174339,13:32:1687174339,0
280,433,13:32:1687174339,13:32:1687174339,0
281,360,13:32:1687174339,13:32:1687174339,0
282,434,13:32:1687174341,13:32:1687174341,0
283,433,13:32:1687174341,13:32:1687174341,0
284,360,13:32:1687174341,13:32:1687174341,0
285,434,13:32:1687174343,13:32:1687174343,0
286,433,13:32:1687174343,13:32:1687174343,0
287,360,13:32:1687174343,13:32:1687174343,0
288,434,13:32:1687174343,13:32:1687174343,0
289,433,13:32:1687174343,13:32:1687174343,0
290,360,13:32:1687174343,13:32:1687174343,0
291,433,13:32:1687174346,13:32:1687174346,0
292,360,13:32:1687174346,13:32:1687174346,0
293,434,13:32:1687174346,13:32:1687174346,0
294,433,13:32:1687174346,13:32:1687174346,0
295,360,13:32:1687174346,13:32:1687174346,0
296,434,13:32:1687174348,13:32:1687174348,0
297,433,13:32:1687174348,13:32:1687174348,0
298,434,13:32:1687174350,13:32:1687174350,0
299,433,13:32:1687174350,13:32:1687174350,0
300,360,13:32:1687174350,13:32:1687174350,0
301,434,13:32:1687174352,13:32:1687174352,-1
302,433,13:32:1687174352,13:32:1687174352,0
303,360,13:32:1687174352,13:32:1687174352,0
304,433,13:32:1687174354,13:32:1687174354,0
305,434,13:32:1687174354,13:32:1687174354,0
306,433,13:32:1687174354,13:32:1687174354,0
307,360,13:32:1687174354,13:32:1687174354,0
308,434,13:32:1687174356,13:32:1687174356,1
309,433,13:32:1687174356,13:32:1687174356,0
310,360,13:32:1687174356,13:32:1687174356,0
311,433,13:32:1687174359,13:32:1687174359,0
312,434,13:32:1687174359,13:32:1687174359,0
313,433,13:32:1687174359,13:32:1687174359,0
314,360,13:32:1687174359,13:32:1687174359,0
315,433,13:32:1687174361,13:32:1687174361,0
316,360,13:32:1687174361,13:32:1687174361,0
317,434,13:32:1687174361,13:32:1687174361,0
318,433,13:32:1687174361,13:32:1687174361,0
319,360,13:32:1687174361,13:32:1687174361,0
320,434,13:32:1687174363,13:32:1687174363,0
321,433,13:32:1687174363,13:32:1687174363,0
322,434,13:32:1687174363,13:32:1687174363,0
323,433,13:32:1687174363,13:32:1687174363,0
324,360,13:32:1687174363,13:32:1687174363,0
325,434,13:32:1687174365,13:32:1687174365,0
326,433,13:32:1687174365,13:32:1687174365,0
327,360,13:32:1687174365,13:32:1687174365,0
328,434,13:32:1687174367,13:32:1687174374,6572
329,360,13:32:1687174374,13:32:1687174374,0
330,434,13:32:1687174376,13:33:1687174393,16709
331,433,13:33:1687174393,13:33:1687174393,0
